page_id,page_type,category,display_name,slug,url,content_key,reason,candidate_excel_slug
category:경북|포항시 남구:영어과외,subject,영어과외,포항시 남구,포항시 남구,/포항시-남구영어과외/,포항시-남구영어과외,excel_slug_missing,
category:경북|포항시 남구:초등과외,grade,초등과외,포항시 남구,포항시 남구,/포항시-남구초등과외/,포항시-남구초등과외,excel_slug_missing,
category:경북|포항시 남구:중등과외,grade,중등과외,포항시 남구,포항시 남구,/포항시-남구중등과외/,포항시-남구중등과외,excel_slug_missing,
category:경북|포항시 남구:고등과외,grade,고등과외,포항시 남구,포항시 남구,/포항시-남구고등과외/,포항시-남구고등과외,excel_slug_missing,
category:경북|포항시 남구:초등수학과외,subject_grade,초등수학과외,포항시 남구,포항시 남구,/포항시-남구초등수학과외/,포항시-남구초등수학과외,excel_slug_missing,
category:경북|포항시 남구:중등수학과외,subject_grade,중등수학과외,포항시 남구,포항시 남구,/포항시-남구중등수학과외/,포항시-남구중등수학과외,excel_slug_missing,
category:경북|포항시 남구:고등수학과외,subject_grade,고등수학과외,포항시 남구,포항시 남구,/포항시-남구고등수학과외/,포항시-남구고등수학과외,excel_slug_missing,
category:경북|포항시 남구:초등영어과외,subject_grade,초등영어과외,포항시 남구,포항시 남구,/포항시-남구초등영어과외/,포항시-남구초등영어과외,excel_slug_missing,
category:경북|포항시 남구:중등영어과외,subject_grade,중등영어과외,포항시 남구,포항시 남구,/포항시-남구중등영어과외/,포항시-남구중등영어과외,excel_slug_missing,
category:경북|포항시 남구:고등영어과외,subject_grade,고등영어과외,포항시 남구,포항시 남구,/포항시-남구고등영어과외/,포항시-남구고등영어과외,excel_slug_missing,
region:경북|포항시 남구|대이동,dong,과외,대이동,대이동,/경북과외/포항시-남구과외/대이동과외/,대이동과외,excel_slug_missing,
category:경북|포항시 남구|대이동:수학과외,subject,수학과외,대이동,대이동,/대이동수학과외/,대이동수학과외,excel_slug_missing,
category:경북|포항시 남구|대이동:영어과외,subject,영어과외,대이동,대이동,/대이동영어과외/,대이동영어과외,excel_slug_missing,
category:경북|포항시 남구|대이동:초등과외,grade,초등과외,대이동,대이동,/대이동초등과외/,대이동초등과외,excel_slug_missing,
category:경북|포항시 남구|대이동:중등과외,grade,중등과외,대이동,대이동,/대이동중등과외/,대이동중등과외,excel_slug_missing,
category:경북|포항시 남구|대이동:고등과외,grade,고등과외,대이동,대이동,/대이동고등과외/,대이동고등과외,excel_slug_missing,
category:경북|포항시 남구|대이동:초등수학과외,subject_grade,초등수학과외,대이동,대이동,/대이동초등수학과외/,대이동초등수학과외,excel_slug_missing,
